Name,Type,UnitCode
Kilograms,Custom,kg
Grams,Custom,g
Centimetres,Custom,cm
Vector genomes,Custom,vg
Kilocalories,Custom,kcal
Units,Custom,units
Millilitres,Custom,mL
Milligrams,Custom,mg
Micrograms,Custom,mcg
Litres,Custom,L
Metres,Custom,m
Millimetres,Custom,mm
Weight,Custom,wt
Height,Custom,ht
International units,Custom,IU
DOSE,Custom,DOSE
DOSES,Custom,DOSES
